Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Asia	18-21	< 13	Male	Student (full time)	Yes	Secondary/high school									Requirement		This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS	C++, Java	C++	I have lots of projects on the go. Switching between them keeps me motivated	Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Super-Talky	Yes	Laptop	Windows	1	Several times per week	To improve my knowledge	I'm happy with my current level of open source contribution		Somewhat	Somewhat	Not sure	Strongly disagree	Somewhat	Strongly Agree	Yes	This information will be kept private.
North America	22-25	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Somewhat important	Somewhat important	Don't care	Very important	Very important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	C++, Java, C, C#, Assembly	Java	Lua	I commit to a project until I reach a defined end goal before moving on to the next	Game dev, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	I don't have a role :(	Yes	Desktop	Windows	2	Less than once per year	Other	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Somewhat	Somewhat disagree	No	This information will be kept private.
North America	22-25	18 - 21	Male	Student (full time)	Yes	Bachelor's degree	Very important	Somewhat important	Very important	Don't care	Requirement	Requirement	Requirement	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, TypeScript, Haskell, Assembly	C++, Java, Python, C	Rust, Lisp, Ruby	I need to have some collaborators in order to keep myself motivated	Fintech, Embedded Systems, Cyber security, Game dev, Artificial Intelligence	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Chatterbox	Yes	Laptop, Desktop	Linux	2	Never			I don't have the time, I can't find any projects that interest me	Somewhat disagree	Somewhat disagree	Not sure	Not sure	Somewhat disagree	Not sure	No	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	Rather not say	Requirement	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	Very important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, C#, TypeScript	JavaScript, C++, TypeScript	PHP, Ruby	I commit to a project until I reach a defined end goal before moving on to the next	Data Science, Other	Another discord server	1-2 years	Chatting with other programmers, Getting help with programming problems	Active	Yes	Desktop	Linux	2	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
North America	18-21	13 - 17	Male	Employed (internship)	Yes	Bachelor's degree	Somewhat important	Very important	Don't care	Very important	Requirement	Very important	Requirement	Somewhat important	Very important	Very important	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, C#, Kotlin, TypeScript, Go	JavaScript, Python, TypeScript, Go	Rust, Assembly	I commit to a project until I reach a defined end goal before moving on to the next	Fintech, Robotics, Web dev, Mobile dev, Cyber security, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Helping other programmers, Getting help with programming problems, Lurking	I don't have a role :(	No but I'd like to be	Laptop	Linux	1	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
North America	13-17	13 - 17	Male	Employed (part time)	Yes	Secondary/high school	Very important	Very important	Somewhat important	Somewhat important	Requirement	Very important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS	Python	C++	I start a project but quickly lose motivation and usually don't complete a project	Robotics, Data Science, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	Yes	Laptop, Desktop	Windows	1	Less than once per month but more than once per year	To fix issues in libraries I use	I would like to only contribute to open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Very important	Don't care	Somewhat important	Requirement	Requirement	Requirement	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, HTML, CSS, TypeScript, Other	JavaScript	Java, TypeScript, Go	I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Robotics, Web dev, Cyber security	Discord server discovery	1-2 years	Getting help with programming problems, Lurking	I don't have a role :(		Laptop, Desktop	Windows	2	A least once per month	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	Strongly Agree	No	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Don't care	Somewhat important	Requirement	Requirement	Requirement	Very important	Somewhat important	Requirement	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, TypeScript	JavaScript, HTML, CSS	C++	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Web dev, Mobile dev, Data Science, Cyber security, Artificial Intelligence	Through a friend/colleague	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Community-Member	No but I'd like to be	Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Somewhat important	Somewhat important	Requirement	Somewhat important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	C++	C++	Python, C	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Game dev, Other	Through a friend/colleague	0-1 years	Getting help with programming problems, Lurking	I don't have a role :(	Yes	Laptop	Windows	1	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No, I didn't know they were enabled	This information will be kept private.
North America	26-30	18 - 21	Male	Employed (full time)	Yes	Master's degree	Very important	Requirement	Very important	Very important	Somewhat important	Very important	Somewhat important	Don't care	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, PHP, TypeScript	JavaScript, Python, HTML, CSS, PHP, TypeScript	C++, Ruby	I need to have some collaborators in order to keep myself motivated	Robotics, Web dev, Mobile dev, Game dev, Artificial Intelligence	Discord server discovery	0-1 years	Getting help with programming problems	I don't have a role :(	No but I'd like to be	Desktop	Windows	2	Less than once per month but more than once per year	To improve my knowledge	I would like to contribute to more open source projects		Somewhat	Somewhat	Strongly Agree	Strongly Agree	Somewhat	Somewhat disagree	No, I didn't know they were enabled	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Requirement	Very important	Somewhat important	Don't care	Very important	Somewhat important	Somewhat important	Somewhat important	Don't care	Very important	This information will be kept private.	C++, Assembly	C++	JavaScript, C#	I need to have some collaborators in order to keep myself motivated	Game dev	Other	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active		Desktop	Windows	2	Never			I don't feel comfortable with my ability, I don't have the time	Strongly Agree	Strongly Agree	Somewhat disagree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
South America	18-21	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Requirement	Requirement	Requirement	Somewhat important	Requirement	Requirement	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS	JavaScript, HTML, CSS	C++, Python	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Data Science, Artificial Intelligence	Discord server discovery	0-1 years	Getting help with programming problems	I don't have a role :(	No but I'd like to be	Desktop	Windows	1	Never			Other	Not sure	Not sure	Not sure	Not sure	Not sure	Strongly Agree	No, I didn't know they were enabled	This information will be kept private.
North America	22-25	13 - 17	Male	Employed (full time)	Yes	Secondary/high school	Requirement	Requirement	Requirement	Somewhat important	Requirement	Requirement	Don't care	Requirement	Don't care	Don't care	This information will be kept private.	JavaScript, HTML, CSS, C#, PHP, Kotlin, TypeScript	JavaScript, HTML, CSS, C#, TypeScript	Lisp	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Game dev	Through a friend/colleague	3+ years	Chatting with other programmers, Lurking	Super-Talky		Laptop, Desktop	Linux	3	Never			I don't have the time, I can't find any projects that interest me						Strongly Agree	No	This information will be kept private.
North America	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Requirement	Don't care	Somewhat important	Very important	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	C++, C, Rust	C++, Rust	C++, C, C#, Kotlin, Rust	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Embedded Systems, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop	Windows	1	Less than once per year	To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Europe	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Requirement	Don't care	Somewhat important	Very important	Requirement	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, PHP, TypeScript, Assembly, Go	Java, Python, PHP, Go	C++, C	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Cyber security	Discord server discovery	0-1 years	Chatting with other programmers	Community-Member	No but I'd like to be	Laptop, Desktop	Linux	1	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Strongly Agree	Somewhat	Strongly Agree	Somewhat	Strongly Agree	Not sure	No	This information will be kept private.
